choreIdOfSender,choreIdOfReceiver,status
993,686,denyed
437,965,denyed
636,738,cancelled
990,142,cancelled
167,403,replaced
670,718,requested
815,286,cancelled
918,318,requested
298,948,requested
472,545,requested
96,415,replaced
141,100,denyed
74,327,requested
624,108,replaced
358,552,replaced
246,929,cancelled
444,393,cancelled
268,613,replaced
81,736,requested
774,409,requested
720,347,replaced
645,461,replaced
18,329,cancelled
809,39,replaced
294,129,replaced
771,326,cancelled
885,615,requested
159,975,requested
928,300,requested
154,793,cancelled
76,950,replaced
119,615,replaced
965,676,replaced
66,914,requested
362,31,cancelled
918,816,requested
637,67,requested
904,866,cancelled
107,77,cancelled
213,650,denyed
526,783,denyed
597,678,requested
767,633,denyed
124,619,requested
778,273,denyed
145,137,replaced
49,388,denyed
514,288,denyed
59,263,replaced
824,893,denyed
824,349,replaced
458,669,cancelled
810,353,denyed
666,379,replaced
138,558,replaced
810,88,replaced
337,316,requested
404,453,denyed
673,764,denyed
715,804,cancelled
505,716,cancelled
743,756,requested
110,646,denyed
770,538,denyed
994,746,cancelled
755,88,requested
671,657,requested
378,590,cancelled
557,347,cancelled
60,324,requested
536,392,requested
549,831,requested
74,160,cancelled
949,496,replaced
395,347,cancelled
162,745,replaced
140,522,requested
928,471,denyed
109,683,cancelled
152,441,replaced
869,905,replaced
96,693,cancelled
737,586,cancelled
885,597,requested
287,139,replaced
938,175,cancelled
255,256,cancelled
105,269,replaced
765,496,cancelled
537,840,denyed
828,599,requested
651,363,denyed
845,50,cancelled
620,314,requested
996,451,replaced
383,763,replaced
131,77,requested
358,183,cancelled
898,145,requested
49,455,replaced
362,994,cancelled
784,2,denyed
153,433,cancelled
552,503,cancelled
124,591,denyed
419,92,requested
780,545,replaced
282,91,replaced
755,848,requested
868,393,denyed
105,901,cancelled
709,179,cancelled
928,511,requested
433,448,denyed
107,438,cancelled
738,125,replaced
559,275,replaced
824,864,denyed
510,323,cancelled
186,549,requested
614,67,cancelled
903,315,replaced
651,578,cancelled
518,158,cancelled
828,31,cancelled
715,803,denyed
962,560,denyed
430,329,cancelled
210,144,requested
751,686,requested
346,140,requested
535,488,requested
430,112,cancelled
666,18,requested
645,930,replaced
585,256,replaced
244,784,cancelled
495,528,replaced
427,29,replaced
737,833,requested
73,88,cancelled
498,401,requested
434,373,requested
255,427,requested
529,545,denyed
534,303,denyed
701,772,requested
650,447,cancelled
253,251,cancelled
711,94,cancelled
653,508,cancelled
898,51,requested
625,763,cancelled
685,654,denyed
721,779,replaced
28,17,requested
632,696,requested
904,155,requested
752,428,requested
54,346,denyed
783,239,denyed
136,88,replaced
988,950,cancelled
540,268,denyed
529,323,cancelled
228,135,requested
613,459,cancelled
444,673,requested
962,818,requested
680,291,requested
153,573,replaced
695,846,denyed
616,161,replaced
994,278,denyed
96,318,replaced
974,676,denyed
289,471,requested
322,624,cancelled
243,69,replaced
695,956,denyed
210,979,requested
544,147,requested
785,781,cancelled
304,77,denyed
564,904,requested
309,599,requested
743,376,requested
482,503,denyed
705,239,replaced
352,499,requested
1,269,cancelled
341,349,requested
712,779,cancelled
656,44,requested
736,332,denyed
104,686,requested
392,993,replaced
277,358,denyed
357,392,requested
381,708,requested
817,984,denyed
18,188,replaced
502,745,cancelled
331,822,cancelled
697,784,cancelled
743,597,denyed
980,306,replaced
782,427,denyed
163,158,cancelled
806,831,cancelled
706,789,replaced
678,364,replaced
705,942,cancelled
100,771,requested
783,288,denyed
709,175,requested
43,506,denyed
378,193,denyed
131,473,cancelled
331,847,cancelled
991,785,replaced
737,143,requested
535,288,cancelled
402,70,cancelled
481,657,cancelled
216,342,replaced
527,948,denyed
794,353,denyed
95,425,cancelled
109,739,requested
74,197,denyed
103,721,replaced
738,606,replaced
721,106,replaced
578,10,replaced
835,929,replaced
409,718,requested
9,329,denyed
550,676,cancelled
623,870,cancelled
785,739,denyed
782,500,cancelled
38,984,denyed
961,43,replaced
499,930,requested
348,708,denyed
5,654,denyed
110,499,cancelled
228,451,requested
912,811,cancelled
737,295,cancelled
304,956,replaced
39,414,requested
828,553,cancelled
673,18,denyed
559,993,denyed
366,929,requested
138,97,requested
737,414,denyed
298,849,replaced
642,248,denyed
612,615,cancelled
146,983,cancelled
326,542,cancelled
119,842,replaced
774,606,replaced
363,560,cancelled
788,154,denyed
152,250,denyed
865,932,denyed
100,846,requested
22,770,replaced
204,101,replaced
99,683,denyed
751,295,requested
624,123,requested
778,836,replaced
590,488,requested
514,45,cancelled
801,780,denyed
325,305,denyed
788,332,replaced
419,965,cancelled
610,288,denyed
96,646,cancelled
752,789,cancelled
212,453,requested
287,427,replaced
337,806,cancelled
414,775,requested
771,142,replaced
298,698,requested
505,11,requested
806,275,denyed
87,613,replaced
510,836,denyed
238,19,cancelled
672,693,denyed
849,63,requested
919,307,requested
886,681,cancelled
93,299,requested
346,683,replaced
42,364,requested
782,268,requested
669,56,replaced
537,816,cancelled
81,76,denyed
99,803,replaced
618,780,requested
521,710,replaced
680,753,replaced
684,403,cancelled
131,851,requested
267,455,cancelled
658,746,denyed
174,790,cancelled
769,75,cancelled
913,215,requested
671,82,requested
868,737,replaced
650,596,cancelled
454,208,replaced
150,939,requested
499,642,cancelled
427,740,cancelled
212,273,denyed
333,86,replaced
526,266,requested
537,930,denyed
159,815,denyed
824,525,cancelled
701,686,denyed
675,693,cancelled
828,295,denyed
232,951,denyed
645,886,denyed
214,373,cancelled
96,250,cancelled
111,334,cancelled
432,886,denyed
413,151,requested
287,2,replaced
664,860,replaced
992,905,replaced
498,724,replaced
743,799,requested
449,955,cancelled
387,724,replaced
614,205,denyed
884,183,cancelled
270,762,cancelled
551,63,replaced
400,816,replaced
74,445,denyed
370,850,replaced
78,686,requested
325,692,requested
912,806,cancelled
3,786,denyed
246,447,denyed
413,348,replaced
13,329,replaced
817,850,cancelled
346,323,denyed
308,831,requested
729,683,replaced
423,552,denyed
938,69,cancelled
722,349,cancelled
832,587,cancelled
186,288,replaced
238,105,replaced
961,799,cancelled
321,353,denyed
845,483,denyed
272,659,denyed
416,775,replaced
423,295,requested
861,473,replaced
612,371,denyed
328,746,denyed
798,724,requested
398,420,denyed
664,739,cancelled
761,455,denyed
771,273,replaced
559,624,cancelled
898,483,requested
111,112,cancelled
298,23,cancelled
18,424,requested
841,185,requested
440,642,requested
835,549,requested
869,339,requested
184,886,requested
287,141,replaced
528,712,replaced
886,768,replaced
258,799,cancelled
28,780,cancelled
416,434,replaced
865,234,denyed
514,447,denyed
303,187,requested
391,78,denyed
553,415,cancelled
96,669,cancelled
620,401,replaced
59,527,cancelled
53,867,replaced
697,239,cancelled
460,997,cancelled
484,596,replaced
706,233,cancelled
988,617,cancelled
283,707,replaced
546,193,requested
168,827,requested
408,850,replaced
28,440,requested
738,760,requested
752,135,cancelled
518,44,denyed
299,278,replaced
788,893,replaced
96,885,replaced
452,255,cancelled
521,681,requested
590,65,cancelled
994,307,requested
738,143,replaced
419,991,cancelled
964,105,requested
752,417,denyed
93,434,replaced
744,597,requested
632,65,requested
163,773,requested
254,829,denyed
1,409,cancelled
378,833,cancelled
322,326,replaced
499,553,requested
670,111,requested
331,804,requested
803,905,denyed
409,696,denyed
362,475,denyed
505,145,replaced
582,764,cancelled
546,94,requested
913,832,cancelled
53,827,denyed
743,999,requested
232,942,denyed
73,496,cancelled
711,606,denyed
136,905,requested
9,864,cancelled
370,270,cancelled
707,790,cancelled
414,683,requested
918,147,requested
849,448,requested
28,693,requested
243,82,denyed
168,105,denyed
596,781,cancelled
253,160,cancelled
231,485,replaced
812,295,cancelled
723,591,requested
826,145,requested
468,710,requested
